,CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
21013,40393742,POPEYES CHICKEN & BISCUITS,MANHATTAN,321,WEST  125 STREET                                  ,10027,2129329636,Chicken,2015-08-04,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,12.0,A,2015-08-04,2015-08-14,Cycle Inspection / Re-inspection
21051,40393753,C & B LUNCHEONETTE,QUEENS,983,WYCKOFF AVENUE,11385,7184976561,American ,2015-03-09,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12.0,A,2015-03-09,2015-08-14,Cycle Inspection / Initial Inspection
21063,40393761,SAN PIETRO,MANHATTAN,18,EAST   54 STREET,10022,2127539015,Italian,2014-10-10,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,12.0,A,2014-10-10,2015-08-14,Cycle Inspection / Initial Inspection
21096,40393772,INDO CHINE,MANHATTAN,430,LAFAYETTE STREET                                  ,10003,2125055111,Asian,2015-05-26,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,7.0,A,2015-05-26,2015-08-14,Cycle Inspection / Re-inspection
21117,40393787,DUNKIN' DONUTS,QUEENS,5615,MYRTLE AVENUE,11385,7184973581,Donuts,2014-11-18,Violations were cited in the following area(s).,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Critical,10.0,A,2014-11-18,2015-08-14,Cycle Inspection / Initial Inspection
21132,40393832,GLEN PATRICK'S PUB,QUEENS,5373,65 PLACE,11378,7184298334,American ,2015-03-23,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,10.0,A,2015-03-23,2015-08-14,Cycle Inspection / Initial Inspection
21150,40393855,MULDOONS BAR,MANHATTAN,692,3 AVENUE,10017,2125992750,Irish,2015-03-09,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,24.0,Z,2015-03-09,2015-08-14,Cycle Inspection / Re-inspection
21197,40393905,GRANDSTAND TAVERN,QUEENS,8535,GRAND AVENUE,11373,7184789633,Irish,2015-03-26,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,26.0,Z,2015-03-26,2015-08-14,Cycle Inspection / Re-inspection
21234,40393912,JULLIARD & S.A.B. CAFETERIA,MANHATTAN,70,LINCOLN CENTER,10023,2127217373,American ,2014-10-09,Violations were cited in the following area(s).,10C,"Lighting inadequate; permanent lighting not provided in food preparation areas, ware washing areas, and storage rooms.",Not Critical,2.0,A,2014-10-09,2015-08-14,Cycle Inspection / Initial Inspection
21238,40393977,TONY'S PIZZA II,BROOKLYN,1107,RUTLAND ROAD                                      ,11212,7189538163,Pizza/Italian,2015-02-17,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,11.0,A,2015-02-17,2015-08-14,Cycle Inspection / Initial Inspection
21252,40393985,MANETTA'S RISTORANTE,QUEENS,1076,JACKSON AVENUE,11101,7187866171,Italian,2015-04-01,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,12.0,A,2015-04-01,2015-08-14,Cycle Inspection / Re-inspection
21283,40394007,NIAGARA/ LOVERS OF TODAY/ CABIN DOWN BELOW,MANHATTAN,112,AVENUE A,10009,2124209517,American ,2014-09-30,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,13.0,A,2014-09-30,2015-08-14,Cycle Inspection / Initial Inspection
21305,40394028,SALVI RESTAURANT,BROOKLYN,4220,QUENTIN ROAD,11234,7182523030,Italian,2015-06-13,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,10.0,A,2015-06-13,2015-08-14,Cycle Inspection / Initial Inspection
21324,40394030,TIBBETT DINER,BRONX,3033,TIBBETT AVE,10463,7185498893,American ,2015-01-12,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,10.0,A,2015-01-12,2015-08-14,Cycle Inspection / Initial Inspection
21354,40394037,WHITE CASTLE,QUEENS,17528,HILLSIDE AVENUE,11432,7186576470,Hamburgers,2015-02-04,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,11.0,A,2015-02-04,2015-08-14,Cycle Inspection / Initial Inspection
21365,40394053,FLIGHT 151,MANHATTAN,151,8 AVENUE                                          ,10011,2122291868,American ,2015-04-01,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,18.0,Z,2015-04-01,2015-08-14,Cycle Inspection / Re-inspection
21400,40394054,GARDEN OF EAT-IN,BROOKLYN,1416,AVENUE J,11230,7182525289,Jewish/Kosher,2015-07-01,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12.0,A,2015-07-01,2015-08-14,Cycle Inspection / Re-inspection
21447,40394059,SANDY'S DELI & ROTI,QUEENS,12110,LIBERTY AVENUE,11419,7186598000,Caribbean,2015-03-10,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,11.0,A,2015-03-10,2015-08-14,Cycle Inspection / Re-inspection
21470,40394066,BOMBAY MASALA,MANHATTAN,148,WEST   49 STREET,10019,2123028150,Indian,2014-10-29,No violations were recorded at the time of this inspection.,,,Not Applicable,,,,2015-08-14,Trans Fat / Re-inspection
21504,40394068,JACKSON HOLE,BRONX,6935,ASTORIA BOULEVARD,11370,7182047070,American ,2014-08-14,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,10.0,A,2014-08-14,2015-08-14,Cycle Inspection / Initial Inspection
21520,40394110,CRONIN & PHELAN PUB & RESTAURANT,QUEENS,3814,BROADWAY,11103,7185458999,Irish,2014-11-06,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,11.0,A,2014-11-06,2015-08-14,Cycle Inspection / Initial Inspection
21532,40394122,PIZZA PLATE,BROOKLYN,1529,86 STREET                                         ,11228,7182564555,Pizza,2015-04-25,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,13.0,A,2015-04-25,2015-08-14,Cycle Inspection / Re-inspection
21556,40394159,SAN REMO PIZZA,QUEENS,4820,VERNON BOULEVARD,11101,7189372484,Pizza,2015-01-05,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,2.0,A,2015-01-05,2015-08-14,Cycle Inspection / Initial Inspection
21591,40394176,MOONSTRUCK EAST,MANHATTAN,449,THIRD AVENUE                                      ,10016,2122131100,American ,2014-09-18,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,10.0,A,2014-09-18,2015-08-14,Cycle Inspection / Initial Inspection
21631,40394207,PASCALOU,MANHATTAN,1308,MADISON AVENUE                                    ,10128,2125347522,French,2015-07-01,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,18.0,Z,2015-07-01,2015-08-14,Cycle Inspection / Re-inspection
21669,40394258,TOMMASO RESTAURANT,BROOKLYN,1464,86 STREET,11228,7182369883,Italian,2015-05-27,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,7.0,A,2015-05-27,2015-08-14,Cycle Inspection / Re-inspection
21693,40394329,FRANK'S PIZZA RESTAURANT,BROOKLYN,2134,FLATBUSH AVENUE,11234,7183778100,Pizza,2015-07-08,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140å¼ F.,Critical,12.0,A,2015-07-08,2015-08-14,Cycle Inspection / Initial Inspection
21722,40394345,DA ROSINA RESTAURANT,MANHATTAN,342,WEST   46 STREET                                  ,10036,2129777373,Italian,2015-04-14,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,11.0,A,2015-04-14,2015-08-14,Cycle Inspection / Initial Inspection
21748,40394357,ABITINO'S PIZZA,MANHATTAN,733,2 AVENUE                                          ,10016,2126611919,Pizza,2015-08-04,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,9.0,A,2015-08-04,2015-08-14,Cycle Inspection / Initial Inspection
21768,40394364,LITTLE POLAND RESTAURANT,MANHATTAN,200,2 AVENUE                                          ,10003,2127779728,Polish,2015-07-06,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,16.0,Z,2015-07-06,2015-08-14,Cycle Inspection / Re-inspection
21810,40394366,EMPIRE SZECHUAN NOODLE HOUSE,MANHATTAN,4041,BROADWAY,10032,2125681600,Chinese,2015-07-09,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,22.0,Z,2015-07-09,2015-08-14,Cycle Inspection / Re-inspection
21844,40394392,PICCOLO ANGOLO,MANHATTAN,621,HUDSON STREET                                     ,10014,2122299177,Italian,2014-09-16,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,10.0,A,2014-09-16,2015-08-14,Cycle Inspection / Initial Inspection
21863,40394394,MASTER WOK,STATEN ISLAND,2655,RICHMOND AVENUE,10314,7189839466,Chinese,2015-04-27,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,7.0,A,2015-04-27,2015-08-14,Cycle Inspection / Initial Inspection
21885,40394401,BAR SIX,MANHATTAN,502,6 AVENUE                                          ,10011,2126911363,French,2014-08-29,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,13.0,A,2014-08-29,2015-08-14,Cycle Inspection / Initial Inspection
21904,40394449,BARAONDA,MANHATTAN,1439,2 AVENUE                                          ,10021,2122888555,Italian,2015-04-16,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,9.0,A,2015-04-16,2015-08-14,Cycle Inspection / Initial Inspection
21924,40394518,MATEUS RESTAURANT,QUEENS,22205,JAMAICA AVENUE,11428,7184644522,Portuguese,2015-03-21,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12.0,A,2015-03-21,2015-08-14,Cycle Inspection / Re-inspection
21962,40394555,LUIGI'S RESTAURANT,QUEENS,26521,UNION TURNPIKE,11040,7183477136,Italian,2015-07-09,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,8.0,A,2015-07-09,2015-08-14,Cycle Inspection / Re-inspection
21983,40394560,MARUMI,MANHATTAN,546,LA GUARDIA PLACE                                  ,10012,2129797055,Japanese,2015-03-31,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,10.0,A,2015-03-31,2015-08-14,Cycle Inspection / Re-inspection
22020,40394566,MEMBERS DINING ROOM @ THE MET MUSEUM,MANHATTAN,1000,5 AVENUE                                          ,10028,2125703974,American ,2015-04-08,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12.0,A,2015-04-08,2015-08-14,Cycle Inspection / Initial Inspection
22031,40394600,THE RESTAURANT,QUEENS,8605,ROCKAWAY BEACH BOULEVARD,11693,7186345809,American ,2015-05-11,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,10.0,A,2015-05-11,2015-08-14,Cycle Inspection / Initial Inspection
22064,40394644,EGGER'S ICE CREAM PARLOR,STATEN ISLAND,1194,FOREST AVENUE                                     ,10310,7189812110,"Ice Cream, Gelato, Yogurt, Ices",2014-11-24,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,13.0,A,2014-11-24,2015-08-14,Cycle Inspection / Initial Inspection
22077,40394650,GINO'S PIZZA,BROOKLYN,4006,13 AVENUE,11218,7188715920,Pizza,2015-05-27,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,7.0,A,2015-05-27,2015-08-14,Cycle Inspection / Initial Inspection
22136,40394701,THE END ZONE BAR,QUEENS,14944,14 AVENUE,11357,7187469654,American ,2015-06-01,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,10.0,A,2015-06-01,2015-08-14,Cycle Inspection / Initial Inspection
22144,40394720,AMBASSADOR DINING ROOM  AT SARATOGA FAMILY INN,QUEENS,17515,ROCKAWAY BOULEVARD,11434,7182441375,American ,2015-04-22,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,10.0,A,2015-04-22,2015-08-14,Cycle Inspection / Re-inspection
22164,40394723,THE ABBEY PUB,MANHATTAN,237,WEST  105 STREET                                  ,10025,2122228713,Irish,2015-02-24,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,12.0,A,2015-02-24,2015-08-14,Cycle Inspection / Initial Inspection
22202,40394749,FINE & SHAPIRO,MANHATTAN,138,WEST   72 STREET,10023,2128772874,Jewish/Kosher,2014-10-14,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,8.0,A,2014-10-14,2015-08-14,Cycle Inspection / Initial Inspection
22217,40394761,E & L BAKERY & COFFEE SHOP,BRONX,4202,WHITE PLAINS ROAD                                 ,10466,7183248152,Bakery,2014-12-31,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,9.0,A,2014-12-31,2015-08-14,Cycle Inspection / Initial Inspection
22230,40394762,CAROLINE'S ON BROADWAY,MANHATTAN,750,7 AVENUE                                          ,10019,2127574100,American ,2014-12-02,Violations were cited in the following area(s).,06B,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",Critical,10.0,A,2014-12-02,2015-08-14,Cycle Inspection / Initial Inspection
22260,40394770,WEMBLEY ATHLETIC CLUB,BRONX,550,EAST  239 STREET                                  ,10470,7186528108,American ,2015-03-27,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12.0,A,2015-03-27,2015-08-14,Cycle Inspection / Initial Inspection
22286,40394838,CULLEN'S TAVERN,BRONX,4340,WHITE PLAINS ROAD                                 ,10466,3479204009,American ,2015-06-02,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,19.0,Z,2015-06-02,2015-08-14,Cycle Inspection / Re-inspection
22316,40394840,THE UPPER CRUST,MANHATTAN,91,HORATIO STREET,10014,2126914570,American ,2015-01-13,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,13.0,A,2015-01-13,2015-08-14,Cycle Inspection / Initial Inspection
22337,40394916,LAS ISLA RESTAURANT,BROOKLYN,293,BROADWAY                                                                                            ,11211,7183871605,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2015-02-17,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140å¼ F.,Critical,13.0,A,2015-02-17,2015-08-14,Cycle Inspection / Initial Inspection
22361,40394957,TUSCANY GRILL,BROOKLYN,8620,3 AVENUE                                          ,11209,7189215633,Italian,2015-04-01,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,10.0,A,2015-04-01,2015-08-14,Cycle Inspection / Re-inspection
22385,40394962,RUSSO'S ON THE BAY,QUEENS,16245,CROSS BAY BOULEVARD,11414,7188435055,American ,2015-03-12,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,9.0,A,2015-03-12,2015-08-14,Cycle Inspection / Initial Inspection
22402,40395020,BUCCANEER DINER,QUEENS,9301,ASTORIA BOULEVARD,11369,7184295188,American ,2015-01-24,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,9.0,A,2015-01-24,2015-08-14,Cycle Inspection / Initial Inspection
22419,40395023,JING FONG RESTAURANT,MANHATTAN,20,ELIZABETH STREET                                  ,10013,2129645256,Chinese,2015-05-07,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,17.0,Z,2015-05-07,2015-08-14,Cycle Inspection / Re-inspection
22448,40395036,AMERICAN AIRLINES EMPLOYEE CAFETERIA,QUEENS,0,LA GUARDIA AIRPORT,11369,7184764287,American ,2015-07-30,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140å¼ F to 70å¼ F or less within 2 hours, and from 70å¼ F to 41å¼ F or less within 4 additional hours.",Critical,8.0,A,2015-07-30,2015-08-14,Cycle Inspection / Re-inspection
22491,40395055,BECCO,MANHATTAN,355,WEST   46 STREET                                  ,10036,2123977597,Italian,2015-04-06,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,11.0,A,2015-04-06,2015-08-14,Cycle Inspection / Re-inspection
22517,40395071,DUNKIN' DONUTS,QUEENS,3114,DITMARS BOULEVARD,11105,7182743011,Donuts,2014-10-23,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3.0,A,2014-10-23,2015-08-14,Cycle Inspection / Initial Inspection
22532,40395079,RUDY'S BAR & Grill,MANHATTAN,627,9 AVENUE                                          ,10036,6467070890,American ,2014-09-23,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,10.0,A,2014-09-23,2015-08-14,Cycle Inspection / Initial Inspection
22547,40395087,AUSTIN'S STEAK & ALE HOUSE,QUEENS,8270,AUSTIN STREET,11415,7188493939,Continental,2015-05-20,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,10.0,A,2015-05-20,2015-08-14,Cycle Inspection / Initial Inspection
22579,40395093,COYOTE UGLY,MANHATTAN,153,FIRST AVENUE                                      ,10003,2124774431,American ,2015-06-16,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,25.0,Z,2015-06-16,2015-08-14,Cycle Inspection / Re-inspection
22629,40395110,PRIMA PASTA & CAFE,QUEENS,16150,CROSSBAY BOULEVARD,11414,7186597278,Italian,2014-11-29,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,11.0,A,2014-11-29,2015-08-14,Cycle Inspection / Initial Inspection
22640,40395122,GINO'S PIZZERIA RESTAURANT,MANHATTAN,345,EAST   83 STREET                                  ,10028,2127175336,Pizza,2014-11-12,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12.0,A,2014-11-12,2015-08-14,Cycle Inspection / Initial Inspection
22670,40395140,TONY'S PIZZERIA & RESTAURANT,BROOKLYN,1622,RALPH AVENUE                                      ,11236,7184449651,Pizza/Italian,2015-01-06,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,7.0,A,2015-01-06,2015-08-14,Cycle Inspection / Initial Inspection
22709,40395152,UNCLE VANYA,MANHATTAN,315,WEST   54 STREET                                  ,10019,2122620542,Russian,2015-06-25,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,26.0,,,2015-08-14,Cycle Inspection / Compliance Inspection
22757,40395200,UNO CHICAGO GRILL,MANHATTAN,220,EAST   86 STREET                                  ,10028,2124725656,Pizza,2015-02-23,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,13.0,A,2015-02-23,2015-08-14,Cycle Inspection / Initial Inspection
22786,40395211,DEMPSEY'S PUB,MANHATTAN,61,2 AVENUE                                          ,10003,2123880662,Irish,2015-01-26,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,9.0,A,2015-01-26,2015-08-14,Cycle Inspection / Initial Inspection
22810,40395218,WINCHESTERS PUB,QUEENS,23312,HILLSIDE AVENUE,11427,7184648230,American ,2014-09-04,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,10.0,A,2014-09-04,2015-08-14,Cycle Inspection / Initial Inspection
22835,40395239,CAFE CARDINI,QUEENS,27120,UNION TURNPIKE,11040,7183432728,Italian,2015-02-05,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,12.0,A,2015-02-05,2015-08-14,Cycle Inspection / Initial Inspection
22843,40395298,T-BONE DINER,QUEENS,10748,QUEENS BOULEVARD,11375,7182617744,American ,2015-04-08,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,10.0,A,2015-04-08,2015-08-14,Cycle Inspection / Re-inspection
22903,40395310,SUNRISE COFFEE SHOP,QUEENS,4504,PARSONS BOULEVARD,11355,7188864855,American ,2015-08-06,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,19.0,Z,2015-08-06,2015-08-14,Cycle Inspection / Re-inspection
22924,40395313,MY THREE SONS RESTAURANT,BROOKLYN,7121,FT HAMILTON PARKWAY,11228,7188361579,American ,2015-07-09,Violations were cited in the following area(s).,16B,"The original nutritional fact labels and/or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturers documentation not maintained on site.",Not Critical,,,,2015-08-14,Trans Fat / Compliance Inspection
22970,40395333,CHICKEN DELICIOUS,BROOKLYN,286,KINGS HIGHWAY                                     ,11223,7189988878,Chicken,2015-01-29,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,8.0,A,2015-01-29,2015-08-14,Cycle Inspection / Initial Inspection
22984,40395343,FELIX,MANHATTAN,340,WEST BROADWAY                                     ,10013,2124310021,French,2015-03-24,Violations were cited in the following area(s).,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,9.0,A,2015-03-24,2015-08-14,Cycle Inspection / Initial Inspection
23029,40395366,MIKE'S DONUTS,BROOKLYN,6822,5 AVENUE                                          ,11220,7187456980,Donuts,2015-07-22,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,5.0,A,2015-07-22,2015-08-14,Cycle Inspection / Re-inspection
23037,40395375,ILDA'S PLACE II,QUEENS,8122,BAXTER AVENUE,11373,7188987207,American ,2015-07-10,No violations were recorded at the time of this inspection.,,,Not Applicable,0.0,,,2015-08-14,Inter-Agency Task Force / Initial Inspection
23048,40395376,LE PETIT CAFE,MANHATTAN,156,SPRING STREET,10012,2122199723,American ,2015-04-08,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,13.0,A,2015-04-08,2015-08-14,Cycle Inspection / Re-inspection
23087,40395480,BROADWAY STATION,QUEENS,30-09     ,BROADWAY                                          ,11106,7185455869,American ,2014-12-15,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140å¼ F.,Critical,10.0,A,2014-12-15,2015-08-14,Cycle Inspection / Initial Inspection
23113,40395505,PORTO PRINCE STAR RESTAURANT,QUEENS,22113,LINDEN BOULEVARD,11411,7185259006,Caribbean,2015-03-12,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140å¼ F.,Critical,10.0,A,2015-03-12,2015-08-14,Cycle Inspection / Initial Inspection
23156,40395511,WHITE CASTLE,BRONX,2900,EAST TREMONT AVENUE,10461,7187927659,Hamburgers,2015-02-03,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,12.0,A,2015-02-03,2015-08-14,Cycle Inspection / Initial Inspection
23172,40395516,ALPHA DONUTS,QUEENS,4516,QUEENS BOULEVARD,11104,7184724725,American ,2015-05-28,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140å¼ F to 70å¼ F or less within 2 hours, and from 70å¼ F to 41å¼ F or less within 4 additional hours.",Critical,26.0,Z,2015-05-28,2015-08-14,Cycle Inspection / Re-inspection
23210,40395525,MCDONALD AVENUE DINER,BROOKLYN,1111,MCDONALD AVENUE                                   ,11230,7189518475,American ,2015-04-13,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12.0,A,2015-04-13,2015-08-14,Cycle Inspection / Initial Inspection
23231,40395526,MEZCAL'S DOS RESTAURANT,BROOKLYN,7508,3 AVENUE                                          ,11209,7187487007,Mexican,2015-04-23,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12.0,A,2015-04-23,2015-08-14,Cycle Inspection / Initial Inspection
23247,40395551,SUGAR BUN BAKERY,QUEENS,15622,CROSS BAY BOULEVARD                                                                                 ,11414,7188439233,Bakery,2015-03-27,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,10.0,A,2015-03-27,2015-08-14,Cycle Inspection / Re-inspection
